Question,Answer
"Tôi hiểu ý bạn, nhưng tôi thà lạnh còn hơn nóng.","Đúng vậy, tôi cũng có cảm giác như vậy."
Tôi được gì hôm nay trời đẹp hơn.,Đúng vậy. Tôi hy vọng trời sẽ không mưa.
Đúng vậy. Tôi hy vọng trời sẽ không mưa.,Giữa mùa hè thì trời không nên mưa.
Giữa mùa hè thì trời không nên mưa.,Nếu mưa ngay bây giờ thì thật kỳ lạ.
Nếu mưa ngay bây giờ thì thật kỳ lạ.,Nếu trời mưa trong cái nóng 90 độ thì thật là kỳ lạ.
Nếu trời mưa trong cái nóng 90 độ thì thật là kỳ lạ.,Mới cần mưa lúc này sẽ thật vô ích.
Mới cần mưa lúc này sẽ thật vô ích.,"Đúng vậy, nó thực sự sẽ vô ích."
"Đúng vậy, nó thực sự sẽ vô ích.",Tôi muốn trời mát mẻ hơn một chút.
Tôi muốn trời mát mẻ hơn một chút.,"Tôi hiểu bạn, tôi cũng mong đến mùa đông."
"Tôi hiểu bạn, tôi cũng mong đến mùa đông.","Mùa đông thì tuyệt vời, nhưng đôi khi quá lạnh."
"Mùa đông thì tuyệt vời, nhưng đôi khi quá lạnh.","Tôi hiểu, nhưng tôi thà đối phó với mùa đông hơn là mùa hè."
Hôm nay thật là một ngày đẹp.,"Đúng vậy, thật sự rất đẹp."
"Đúng vậy, thật sự rất đẹp.",Có vẻ như trời sắp mưa.
Có vẻ như trời sắp mưa.,"Đúng rồi, và tôi hy vọng nó sẽ mưa."
"Đúng rồi, và tôi hy vọng nó sẽ mưa.",Tại sao vậy?
Tại sao vậy?,Tôi rất thích khi mưa làm sạch không khí.
Tôi rất thích khi mưa làm sạch không khí.,"Tôi cũng thế. Sau cơn mưa, không khí luôn rất thơm mát."
"Tôi cũng thế. Sau cơn mưa, không khí luôn rất thơm mát.","Đúng vậy, nhưng tôi thích không khí ban đêm sau cơn mưa."
"Đúng vậy, nhưng tôi thích không khí ban đêm sau cơn mưa.",Thật sao? Tại sao vậy?
Thật sao? Tại sao vậy?,Bởi vì bạn có thể thấy các ngôi sao rất rõ.
Bởi vì bạn có thể thấy các ngôi sao rất rõ.,Tôi thật sự hy vọng hôm nay sẽ mưa.
Tôi thật sự hy vọng hôm nay sẽ mưa.,"Vâng, tôi cũng vậy."
Hôm nay đẹp quá nhỉ?,"Đúng vậy, thật sự rất đẹp."
"Đúng vậy, thật sự rất đẹp.",Có vẻ như hôm nay trời sẽ mưa.
Có vẻ như hôm nay trời sẽ mưa.,Hy vọng sẽ mưa.
Hy vọng sẽ mưa.,Tại sao vậy?
Tại sao vậy?,Tôi thích khi bầu trời trở nên trong lành sau cơn mưa.
Tôi thích khi bầu trời trở nên trong lành sau cơn mưa.,"Tôi cũng cảm thấy vậy. Sau mưa, không khí thật sự rất dễ chịu."
"Tôi cũng cảm thấy vậy. Sau mưa, không khí thật sự rất dễ chịu.",Tôi rất biết thích không khí ban đêm khi mưa.
Tôi rất biết thích không khí ban đêm khi mưa.,Thật sao? Tại sao vậy?
Thật sao? Tại sao vậy?,Vì các ngôi sao trông gần hơn sau khi mưa.
Vì các ngôi sao trông gần hơn sau khi mưa.,Tôi thật sự muốn trời mưa hôm nay.
Tôi thật sự muốn trời mưa hôm nay.,"Vâng, tôi cũng vậy."
Bạn không thấy hôm nay đẹp sao?,"Đúng rồi, tôi cũng nghĩ vậy."
"Đúng rồi, tôi cũng nghĩ vậy.",Tôi nghĩ là trời sẽ mưa.
Tôi nghĩ là trời sẽ mưa.,Hy vọng là trời sẽ mưa.
Hy vọng là trời sẽ mưa.,Bạn thích mưa không?
Bạn thích mưa không?,Trời trông thật sạch sẽ sau khi mưa. Tôi rất thích.
Trời trông thật sạch sẽ sau khi mưa. Tôi rất thích.,Tôi hiểu. Mưa thật sự làm không khí trở nên sạch hơn.
Tôi hiểu. Mưa thật sự làm không khí trở nên sạch hơn.,Tôi thích nhất là không khí ban đêm sau khi mưa.
Tôi thích nhất là không khí ban đêm sau khi mưa.,Tại sao vậy?
Tại sao vậy?,Bởi vì bạn có thể nhìn các ngôi sao rõ hơn nhiều sau khi mưa.
Bởi vì bạn có thể nhìn các ngôi sao rõ hơn nhiều sau khi mưa.,Tôi rất muốn trời mưa hôm nay.
Tôi rất muốn trời mưa hôm nay.,Tôi cũng vậy.
Tôi thật sự muốn đi biển vào cuối tuần này.,Nghe có vẻ vui đấy. Thời tiết sẽ như thế nào?
Nghe có vẻ vui đấy. Thời tiết sẽ như thế nào?,Tôi nghe nói cuối tuần này sẽ ấm áp.
Tôi nghe nói cu?i tu?n này s? ?m áp.,Li?u có ph?i là th?i ti?t hoàn h?o ?? ?i bi?n không?
Liệu có phải là thời tiết hoàn hảo để đi biển không?,Tôi nghĩ là sẽ như vậy.
Tôi nghĩ là sẽ như vậy.,Tốt. Tôi hy vọng cuối tuần này không trời lạnh.
Tốt. Tôi hy vọng cuối tuần này không trời lạnh.,Tôi biết. Tôi thật sự muốn đi biển.
Tôi biết. Tôi thật sự muốn đi biển.,"Nhưng bạn biết đấy, thời tiết ở California thật khó đoán."
"Nhưng bạn biết đấy, thời tiết ở California thật khó đoán.","Bạn nói đúng. Có lúc thì nóng, nhưng sau đó lại lạnh."
"Bạn nói đúng. Có lúc thì nóng, nhưng sau đó lại lạnh.",Tôi thật sự mong thời tiết sẽ giữ nguyên.
Tôi thật sự mong thời tiết sẽ giữ nguyên.,Tôi cũng vậy. Như vậy chúng ta có thể lên kế hoạch cho các hoạt động trước.
Tôi cũng vậy. Như vậy chúng ta có thể lên kế hoạch cho các hoạt động trước.,"Đúng vậy, sẽ dễ dàng hơn nhiều."
Tôi muốn đi biển vào cuối tuần này.,Đi biển sẽ rất vui. Thời tiết sẽ như thế nào?
Đi biển sẽ rất vui. Thời tiết sẽ như thế nào?,Dự báo thời tiết nói rằng cuối tuần này sẽ ấm áp.
Dự báo thời tiết nói rằng cuối tuần này sẽ ấm áp.,Vậy bạn nghĩ đó sẽ là thời tiết hoàn hảo để đi biển?
Vậy bạn nghĩ đó sẽ là thời tiết hoàn hảo để đi biển?,Nghe có vẻ đúng.
Nghe có vẻ đúng.,Tôi thật sự hy vọng nó không lạnh đi.
Tôi thật sự hy vọng nó không lạnh đi.,"Điều đó sẽ làm hỏng mọi thứ, tôi muốn đi biển thật sự."
"Điều đó sẽ làm hỏng mọi thứ, tôi muốn đi biển thật sự.","Thời tiết ở California rất khó đoán, vì vậy bạn không bao giờ biết trước được."
"Thời tiết ở California rất khó đoán, vì vậy bạn không bao giờ biết trước được.",Điều đó đúng. Thời tiết thay đổi liên tục.
Điều đó đúng. Thời tiết thay đổi liên tục.,Sẽ thật tuyệt nếu thời tiết không thay đổi.
Sẽ thật tuyệt nếu thời tiết không thay đổi.,"Điều đó sẽ thật tuyệt, chúng ta có thể lên kế hoạch trước."
"Điều đó sẽ thật tuyệt, chúng ta có thể lên kế hoạch trước.",Đúng vậy. Thời tiết ổn định sẽ làm cuộc sống dễ dàng hơn.
Sẽ thật tuyệt nếu được đi biển vào cuối tuần này.,Thời tiết sẽ như thế nào? Tôi có thể muốn đi cùng.
Thời tiết sẽ như thế nào? Tôi có thể muốn đi cùng.,Thời tiết cuối tuần này sẽ ấm áp.
"""Sẽ không tệ nếu trời lạnh vào cuối tuần này.","""""Tôi muốn chuyến đi này hoàn hảo, tôi hy vọng trời sẽ ấm."""""""
"""Tôi muốn chuyến đi này hoàn hảo, tôi hy vọng trời sẽ ấm.","""""Thời tiết California thật không ổn định, không thể biết sẽ xảy ra gì."""""""
Tôi đoán thời tiết không quá khó đoán như vậy.,Điều đó sẽ giúp chúng ta dễ dàng lên kế hoạch hơn.
"Hẹn gặp lại nhé, hẹn gặp lại.",Nói chuyện với bạn sau nhé.
Alice có sẵn không?,Bạn đang nói chuyện với cô ấy.
Bạn đang nói chuyện với cô ấy.,Tôi đã gọi bạn cả trăm lần hôm nay.
Tôi đã gọi bạn cả trăm lần hôm nay.,"Tôi đang bận làm việc gì đó, xin lỗi."
"Tôi đang bận làm việc gì đó, xin lỗi.",Không sao.
Không sao.,Bạn cần gì không?
Bạn cần gì không?,Bạn có muốn làm gì đó vào ngày mai không?
Bạn có muốn làm gì đó vào ngày mai không?,"Có, bạn muốn đi đâu không?"
"Có, bạn muốn đi đâu không?",Có thể đi xem phim được không?
Có thể đi xem phim được không?,Đi xem phim nghe có vẻ hay đấy.
Đi xem phim nghe có vẻ hay đấy.,Hẹn gặp bạn ngày mai nhé.
Bạn đã gặp cô gái mới ở trường chưa?,"Chưa, tôi chưa gặp."
"Chưa, tôi chưa gặp.",Cô ấy thật xinh đẹp.
Cô ấy thật xinh đẹp.,Mô tả cô ấy cho tôi đi.
Mô tả cô ấy cho tôi đi.,Cô ấy không quá cao.
Cô ấy không quá cao.,Vậy cô ấy cao bao nhiêu?
Vậy cô ấy cao bao nhiêu?,Cô ấy cao khoảng 1m50.
Cô ấy cao khoảng 1m50.,Cô ấy trông như thế nào?
Cô ấy trông như thế nào?,Cô ấy có đôi mắt nâu sáng đẹp.
Cô ấy có đôi mắt nâu sáng đẹp.,Tôi có thể biết cô gái bạn đang nói đến.
Tôi có thể biết cô gái bạn đang nói đến.,Vậy bạn đã gặp cô ấy chưa?
Vậy bạn đã gặp cô ấy chưa?,"Có, tôi đã gặp rồi."
"Có, tôi đã gặp rồi.","Có một cô gái mới ở trường, bạn đã gặp chưa?"
"Có một cô gái mới ở trường, bạn đã gặp chưa?","Chưa, tôi chưa gặp cô ấy."
"Chưa, tôi chưa gặp cô ấy.",Tôi nghĩ cô ấy rất xinh đẹp.
Tôi nghĩ cô ấy rất xinh đẹp.,Kể cho tôi nghe cô ấy trông như thế nào đi.
Cô ấy khá thấp.,Cô ấy cao bao nhiêu?
Cô ấy cao bao nhiêu?,Cô ấy có thể cao khoảng 1m50.
Cô ấy có thể cao khoảng 1m50.,"Thật tốt, nhưng kể tôi nghe cô ấy trông như thế nào."
"Thật tốt, nhưng kể tôi nghe cô ấy trông như thế nào.",Điều đầu tiên tôi nhận thấy là đôi mắt nâu đẹp của cô ấy.
Điều đầu tiên tôi nhận thấy là đôi mắt nâu đẹp của cô ấy.,Tôi nghĩ tôi đã tình cờ gặp cô ấy trước đây.
Tôi nghĩ tôi đã tình cờ gặp cô ấy trước đây.,Bạn đang nói là bạn đã gặp cô ấy rồi à?
Bạn đang nói là bạn đã gặp cô ấy rồi à?,Tôi tin là vậy.
Bạn đã gặp cô gái mới chưa?,Chưa. Bạn thì sao?
Chưa. Bạn thì sao?,Cô ấy là một trong những cô gái xinh đẹp nhất ở trường.
Cô ấy là một trong những cô gái xinh đẹp nhất ở trường.,Cô ấy trông như thế nào?
Cô ấy trông như thế nào?,Cô ấy khá thấp.
Cô ấy khá thấp.,Bạn nghĩ cô ấy cao bao nhiêu?
Bạn nghĩ cô ấy cao bao nhiêu?,Tôi nghĩ cô ấy chỉ cao 1m50.
Tôi nghĩ cô ấy chỉ cao 1m50.,Còn về các đặc điểm trên khuôn mặt của cô ấy thì sao?
Còn về các đặc điểm trên khuôn mặt của cô ấy thì sao?,"Cô ấy có đôi mắt nâu sáng, thật sự rất đẹp."
"Cô ấy có đôi mắt nâu sáng, thật sự rất đẹp.",Tôi nghĩ tôi biết bạn đang nói đến ai.
Tôi nghĩ tôi biết bạn đang nói đến ai.,Bạn đã gặp cô ấy chưa?
Tại sao hôm qua bạn không đến trường?,Tôi cảm thấy không được khỏe.
Tôi cảm thấy không được khỏe.,Bạn bị làm sao vậy?
Bạn bị làm sao vậy?,Dạ dày tôi không ổn.
Dạ dày tôi không ổn.,Bạn cảm thấy ổn hơn chưa?
Bạn cảm thấy ổn hơn chưa?,Tôi vẫn chưa cảm thấy khỏe lại lắm.
Tôi vẫn chưa cảm thấy khỏe lại lắm.,Bạn có cần gì để cảm thấy tốt hơn không?
Bạn có cần gì để cảm thấy tốt hơn không?,"Không, cảm ơn. Tôi đã uống thuốc rồi."
"Không, cảm ơn. Tôi đã uống thuốc rồi.",Mong bạn sẽ khỏe lại.
"""""""Mong bạn sớm khỏe lại.","Cảm ơn bạn."""""""
Tại sao bạn lại nghỉ học?,Tôi bị ốm.
Tôi bị ốm.,Bạn bị làm sao?
Bạn bị làm sao?,Tôi bị đau bụng.
Tôi bị đau bụng.,Nó có đỡ hơn chưa?
Nó có đỡ hơn chưa?,Tôi vẫn còn cảm thấy không khỏe.
Tôi vẫn cảm thấy không khỏe.,Bạn có cần gì cho dạ dày không?
Bạn có cần gì cho dạ dày không?,Tôi đã uống thuốc rồi.
Tôi đã uống thuốc rồi.,Chúc bạn mau khỏe.
Chúc bạn mau khỏe.,Cảm ơn bạn rất nhiều.
Tại sao bạn không đi học hôm qua?,Tôi ở nhà vì tôi không cảm thấy khỏe.
Tôi ở nhà vì tôi không cảm thấy khỏe.,Bạn bị làm sao vậy?
Bạn bị làm sao vậy?,Dạ dày tôi bị khó chịu.
Dạ dày tôi bị khó chịu.,Bạn có cảm thấy khá hơn không?
Bạn có cảm thấy khá hơn không?,Tôi vẫn cảm thấy hơi ốm.
Tôi vẫn cảm thấy hơi ốm.,"Tôi sẽ đi ra ngoài, bạn có muốn mua Pepto Bismol không?"
"Tôi sẽ đi ra ngoài, bạn có muốn mua Pepto Bismol không?",Không sao đâu.
Không sao đâu.,Mong bạn sớm khỏe lại.
Bạn có nghe tin tốt không?,"Không, tôi chưa nghe."
"Không, tôi chưa nghe.",Tôi đã nhận được thông báo về công việc.
Tôi đã nhận được thông báo về công việc.,Thật sao?
Thật sao?,"Thật sự là vậy, tôi rất vui mừng."
"Thật sự là vậy, tôi rất vui mừng.",Chúc mừng bạn.
Chúc mừng bạn.,Cảm ơn bạn.
Cảm ơn bạn.,Tôi rất vui mừng cho bạn.
Tôi rất vui mừng cho bạn.,Thật sao?
Thật sao?,Vâng. Bạn thật sự xứng đáng với điều này.
Vâng. Bạn thật sự xứng đáng với điều này.,Bạn nghĩ vậy sao?
Bạn nghĩ vậy sao?,Vâng. Chúc mừng bạn.
Bạn có nghe tin tốt của tôi không?,Bạn chưa nói gì với tôi cơ.
Bạn chưa nói gì với tôi cơ.,Tôi đã nhận được thông báo về công việc vào cuối tuần này.
Tôi đã nhận được thông báo về công việc vào cuối tuần này.,Thật không?
Thật không?,Đó là sự thật. Tôi rất vui mừng.
Đó là sự thật. Tôi rất vui mừng.,Chúc mừng bạn đã thông báo.
Chúc mừng bạn đã thông báo.,Cảm ơn bạn rất nhiều.
Cảm ơn bạn rất nhiều.,Tôi rất háo hức cho bạn.
Tôi rất háo hức cho bạn.,Bạn thật sự sao?
Bạn thật sự sao?,Tôi nói thật đấy. Bạn xứng đáng với việc thông báo này.
Tôi nói thật đấy. Bạn xứng đáng với việc thông báo này.,Đó là suy nghĩ thật của bạn à?
Đó có phải là điều bạn thật sự nghĩ không?,"Vâng, tôi nghĩ vậy."
"Tôi chưa kịp cho bạn biết chuyện gì đã xảy ra, đúng không?",Tôi chưa nghe gì cả.
Tôi chưa nghe gì cả.,Sắp cơ hội tôi đã nghe thông báo và tôi đã nhận lại.
Sắp cơ hội tôi đã nghe thông báo và tôi đã nhận lại.,Bạn nói thật không?
Bạn nói thật không?,"Vâng, tôi thật sự rất hào hứng."
"Vâng, tôi thật sự rất hào hứng.",Tuyệt vời. Chúc mừng nhé.
Tuyệt vời. Chúc mừng nhé.,Tôi cảm ơn bạn.
Tôi cảm ơn bạn.,Bạn không biết tôi vui như thế nào vì bạn đâu.
Bạn không biết tôi vui như thế nào vì bạn đâu.,Thật sao?
Bạn trông rất đẹp hôm nay.,Cảm ơn bạn. Tôi vừa mua đôi bốt này hôm trước.
Cảm ơn bạn. Tôi vừa mua đôi bốt này hôm trước.,"Thật sao, bạn mua ở đâu vậy?"
"Thật sao, bạn mua ở đâu vậy?",Tôi mua ở Macy's.
Tôi mua ở Macy's.,Nó rất đẹp.
Nó rất đẹp.,Cảm ơn lần nữa. Bạn cũng trông đẹp hôm nay đấy.
Cảm ơn lần nữa. Bạn cũng trông đẹp hôm nay đấy.,Cảm ơn bạn. Tôi vừa mua đôi giày này hôm nay.
Cảm ơn bạn. Tôi vừa mua đôi giày này hôm nay.,Thật sao? Đó là loại giày gì vậy?
Thật sao? Đó là loại giày gì vậy?,Đây là giày All Star Chuck Taylors.
Đây là giày All Star Chuck Taylors.,Tôi rất thích đôi giày đó. Chúng có giá bao nhiêu vậy?
Tôi rất thích đôi giày đó. Chúng có giá bao nhiêu vậy?,Chúng giá khoảng bảy mươi đô la.
"""""""Chúng giá khoảng bảy mươi đô la.","Tôi nghĩ tôi sẽ đi mua một đôi cho mình."""""""
Tôi rất thích những gì bạn đang mặc hôm nay.,Thật sao? Tôi vừa mua bộ đồ này cách đây vài ngày.
Thật sao? Tôi vừa mua bộ đồ này cách đây vài ngày.,"Thật sự, nó trông rất đẹp trên bạn. Bạn mua ở đâu vậy?"
"Thật sự, nó trông rất đẹp trên bạn. Bạn mua ở đâu vậy?",Tôi mua ở Macy's tại trung tâm thương mại Santa Anita.
Tôi mua ở Macy's tại trung tâm thương mại Santa Anita.,Tôi rất thích bộ đồ đó.
Tôi rất thích bộ đồ đó.,Cảm ơn. Tôi nghĩ bạn cũng trông đẹp hôm nay đấy.
Cảm ơn. Tôi nghĩ bạn cũng trông đẹp hôm nay đấy.,Cảm ơn bạn. Tôi vừa mua đôi giày mới này hôm nay.
Cảm ơn bạn. Tôi vừa mua đôi giày mới này hôm nay.,Những đôi giày này đẹp đấy. Là loại giày gì vậy?
Những đôi giày này đẹp đấy. Là loại giày gì vậy?,Đây là giày Chucks.
Đây là giày Chucks.,Những đôi giày đó tuyệt vời đấy. Chúng giá bao nhiêu?
Những đôi giày đó tuyệt vời đấy. Chúng giá bao nhiêu?,Tôi mua chúng với giá bảy mươi đô la.
Tôi mua chúng với giá bảy mươi đô la.,Tôi nghĩ tôi sẽ đi mua một đôi Chucks cho mình.
Tôi nghĩ bạn trông rất đáng yêu hôm nay.,Thật sao? Đây là bộ đồ mới hoàn toàn.
Thật sao? Đây là bộ đồ mới hoàn toàn.,Bạn mua ở đâu vậy?
Bạn mua ở đâu vậy?,Tôi đã đến Macy's và chọn nó.
Tôi đã đến Macy's và chọn nó.,Tôi rất thích bộ đồ của bạn hiện tại.
Tôi rất thích bộ đồ bạn đang mặc.,"Ừm, tôi cũng nghĩ hôm nay bạn trông rất đẹp."
"Ừm, tôi cũng nghĩ hôm nay bạn trông rất đẹp.",Cảm ơn. Tôi vừa tìm được đôi giày mới ở cửa hàng hồi nãy.
Cảm ơn. Tôi vừa tìm được đôi giày mới ở cửa hàng hồi nãy.,Tôi thấy đôi giày đó rất đẹp. Đó là loại giày gì vậy?
Tôi thấy đôi giày đó rất đẹp. Đó là loại giày gì vậy?,Đây là giày Chucks.
Đây là giày Chucks.,Đôi giày của bạn rất đẹp. Bạn mua với giá bao nhiêu vậy?
Đôi giày của bạn rất đẹp. Bạn mua với giá bao nhiêu vậy?,Tôi chỉ mất khoảng bảy mươi đô la thôi.
Tôi chỉ mất khoảng bảy mươi đô la thôi.,Bạn thích làm gì trong thời gian rảnh?
Bạn thích làm gì trong thời gian rảnh?,Tôi thích vẽ và tô màu.
Tôi thích vẽ và tô màu.,Bạn biết vẽ và tô màu sao?
Bạn biết vẽ và tô màu sao?,"Vâng, tôi biết."
"Vâng, tôi biết.",Bạn học từ khi nào vậy?
Bạn học từ khi nào vậy?,Tôi học hồi cấp ba.
Tôi học hồi cấp ba.,"Ừ, vậy bạn đã tham gia lớp mỹ thuật à?"
"Ừ, vậy bạn đã tham gia lớp mỹ thuật à?","Vâng, tôi rất thích lớp đó."
"Vâng, tôi rất thích lớp đó.",Tôi thấy bạn khá là có năng khiếu đấy.
Tôi thấy bạn khá là có năng khiếu đấy.,Cảm ơn bạn rất nhiều.
Cảm ơn bạn rất nhiều.,Tôi tự thấy mình cũng có tài năng như vậy.
Tôi tự thấy mình cũng có tài năng như vậy.,"Mình chắc chắn bạn có tài năng, chỉ là chưa khám phá ra thôi."
Bạn thích làm những việc gì?,Tôi luôn thích vẽ và tô màu.
Tôi luôn thích vẽ và tô màu.,Tôi không biết bạn biết vẽ và tô màu đấy.
Tôi không biết bạn biết vẽ và tô màu đấy.,Tôi thành thạo công việc đó thôi.
Tôi thành thạo công việc đó thôi.,Bạn biết vẽ từ khi nào vậy?
Bạn biết vẽ từ khi nào vậy?,Tôi học hồi cấp ba.
Tôi học hồi cấp ba.,Bạn có tham gia lớp mỹ thuật hay gì đó không?
Bạn có tham gia lớp mỹ thuật hay gì đó không?,Đó là lớp tôi yêu thích nhất.
Đó là lớp tôi yêu thích nhất.,Bạn chắc chắn rất có năng khiếu.
Bạn chắc chắn rất có năng khiếu.,Cảm ơn nhé.
Cảm ơn nhé.,Giá mà tôi cũng có tài năng như bạn.
Giá mà tôi cũng có tài năng như bạn.,"Bạn có tài năng đấy, chỉ là bạn chưa nhận ra thôi."
Bạn có sở thích nào không?,"Khi có thời gian, tôi đôi khi vẽ và tô màu."
"Khi có thời gian, tôi đôi khi vẽ và tô màu.","Ừ, bạn thật sự làm vậy à?"
"Ừ, bạn thật sự làm vậy à?",Thỉnh thoảng tôi làm vậy.
Thỉnh thoảng tôi làm vậy.,Bạn luôn biết vẽ và tô màu sao?
Bạn luôn biết vẽ và tô màu sao?,Tôi học hồi cấp ba.
Tôi học hồi cấp ba.,Bạn có học lớp mỹ thuật không?
Bạn có học lớp mỹ thuật không?,"Chính xác, đó là lớp tôi yêu thích nhất."
"Chính xác, đó là lớp học yêu thích nhất của tôi.","À thì, thật tốt khi bạn có tài năng như vậy."
"À thì, thật tốt khi bạn có tài năng như vậy.",Tôi rất cảm kích.
"""""""Phim yêu thích của bạn là gì?","Phim yêu thích của tôi là Superbad."""""""
Phim yêu thích của tôi là Superbad.,"Ừ, tại sao vậy?"
"Ừ, tại sao vậy?",Đó là bộ phim hài hước nhất mà tôi từng xem.
Đó là bộ phim hài hước nhất mà tôi từng xem.,Đúng vậy. Nó thực sự rất buồn cười.
Đúng vậy. Nó thực sự rất buồn cười.,Bạn đã từng xem nó rồi à?
Bạn đã từng xem nó rồi à?,"Vâng, tôi đã xem nó ngay ngày đầu tiên phim ra rạp."
"Vâng, tôi đã xem nó ngay ngày đầu tiên phim ra rạp.",Bạn đã cười suốt cả bộ phim đúng không? Tôi thì có đấy.
Bạn đã cười suốt cả bộ phim đúng không? Tôi thì có đấy.,Tôi cũng vậy. Bộ phim đó làm tôi cười ra nước mắt.
Tôi cũng vậy.,"Tôi có đĩa DVD phim đó ở nhà, nếu bạn muốn tới nhà tôi xem."
